chart_name,date,title,artist,rank,weeks,peakPos,lastPos,change,spotifyLink
hot-100,6/18/16,Sorry,Beyonce,40,6,11,39,-1,https://embed.spotify.com/?uri=spotify:track:4k8Kq3yLE7I7umYfN08YCU
hot-100,6/18/16,T-Shirt,Thomas Rhett,41,14,41,47,6,https://embed.spotify.com/?uri=spotify:track:4V1whwvK4LMHya60xDxuj8
hot-100,6/18/16,Came Here To Forget,Blake Shelton,42,13,36,36,-6,https://embed.spotify.com/?uri=spotify:track:1HwAeValR9dJzAf8Erlv3s
hot-100,6/18/16,No,Meghan Trainor,43,13,3,35,-8,https://embed.spotify.com/?uri=spotify:track:0NmeI6UpRE27dxxgosD5n9
hot-100,6/18/16,Middle,DJ Snake Featuring Bipolar Sunshine,44,20,20,43,-1,https://embed.spotify.com/?uri=spotify:track:2Fn3coxd0xAZ09JtrgcgHa
hot-100,6/18/16,Humble And Kind,Tim McGraw,45,17,30,44,-1,https://embed.spotify.com/?uri=spotify:track:1qosWrKxri24ZIzH4ZDFcp
hot-100,6/18/16,Never Be Like You,Flume Featuring Kai,46,9,46,54,8,https://embed.spotify.com/?uri=spotify:track:4ja3m5fYLcugwuXB6Jkh4Y
hot-100,6/18/16,My Boo,Ghost Town DJ's,47,36,27,40,-7,https://embed.spotify.com/?uri=spotify:track:2OawRn0NvWkStuemgdae4i
hot-100,6/18/16,Into You,Ariana Grande,48,3,48,51,3,https://embed.spotify.com/?uri=spotify:track:3AnwddQhBCSDUwlvbRGyDA
hot-100,6/18/16,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,49,10,49,52,3,https://embed.spotify.com/?uri=spotify:track:1lGOow8CQ1sk4NDHJgXXUJ
hot-100,6/18/16,Wild Things,Alessia Cara,50,15,50,50,0,https://embed.spotify.com/?uri=spotify:track:1TNACNvhOjF24VegRqRNwd
hot-100,6/18/16,Wicked,Future,51,7,51,58,7,https://embed.spotify.com/?uri=spotify:track:6ELbS9xUlkOoAcWDonzc2L
hot-100,6/18/16,Really Really,Kevin Gates,52,22,52,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:1QCJfrkYyUC59owJ6uLQls
hot-100,6/18/16,The Sound Of Silence,Disturbed,53,15,42,49,-4,https://embed.spotify.com/?uri=spotify:track:1Cj2vqUwlJVG27gJrun92y
hot-100,6/18/16,Hype,Drake,54,5,33,45,-9,https://embed.spotify.com/?uri=spotify:track:07GilNHSfS5oicUgHgU7VG
hot-100,6/18/16,Snapback,Old Dominion,55,19,50,53,-2,https://embed.spotify.com/?uri=spotify:track:7I5fYc4qKJddht8Ozhqqdx
hot-100,6/18/16,Uber Everywhere,MadeinTYO,56,9,56,61,5,https://embed.spotify.com/?uri=spotify:track:7zBPzAjKAqQpcv8F8GCq5s
hot-100,6/18/16,My Church,Maren Morris,57,19,50,60,3,https://embed.spotify.com/?uri=spotify:track:69guyOwpeKji5OY8wMdsDI
hot-100,6/18/16,Wake Up,Fetty Wap,58,3,58,99,41,https://embed.spotify.com/?uri=spotify:track:6BOtDFg6GJm0rPUDuNmx57
hot-100,6/18/16,I Hate U I Love U,gnash Featuring Olivia O'Brien,59,7,59,59,0,https://embed.spotify.com/?uri=spotify:track:7vRriwrloYVaoAe3a9wJHe
hot-100,6/18/16,Childs Play,Drake,60,5,49,57,-3,https://embed.spotify.com/?uri=spotify:track:0k9RIzZtAo4DTQu0ZM6lNZ
hot-100,6/18/16,Still Here,Drake,61,5,40,55,-6,https://embed.spotify.com/?uri=spotify:track:4YJmZfvlheSziXem8HBWrj
hot-100,6/18/16,Body,Dreezy Featuring Jeremih,62,11,62,62,0,https://embed.spotify.com/?uri=spotify:track:5DZHM6KMuTXl3sJin3b6yx
hot-100,6/18/16,Church Bells,Carrie Underwood,63,4,63,67,4,https://embed.spotify.com/?uri=spotify:track:67citk3uzWs5qbaIVKTeg8
hot-100,6/18/16,Lights Come On,Jason Aldean,64,8,43,77,13,https://embed.spotify.com/?uri=spotify:track:596ShP1KQsIzk7dTpJNXJi
hot-100,6/18/16,Wasted Time,Keith Urban,65,6,64,70,5,https://embed.spotify.com/?uri=spotify:track:5BIwPoVMFnFIr8RzJunRvf
hot-100,6/18/16,Record Year,Eric Church,66,7,66,74,8,https://embed.spotify.com/?uri=spotify:track:0ohEiGlkEnNCJP1cr7xK08
hot-100,6/18/16,Grammys,Drake Featuring Future,67,5,38,56,-11,https://embed.spotify.com/?uri=spotify:track:2JfeUjJvP1lJkCSne9g0de
hot-100,6/18/16,Head Over Boots,Jon Pardi,68,14,68,71,3,https://embed.spotify.com/?uri=spotify:track:1R9FxlRkvKtt36dtTHs93X
