chart_name,date,title,artist,rank,weeks,peakPos,lastPos,change,spotifyLink
hot-100,6/11/16,Lonesome Broken And Blue,Adam Wakefield,73,1,73,0,Hot Shot Debut,https://embed.spotify.com/?uri=spotify:track:1mx5Q2cmOzUUjEURXbJNOB
hot-100,6/11/16,Record Year,Eric Church,74,6,66,82,8,https://embed.spotify.com/?uri=spotify:track:0ohEiGlkEnNCJP1cr7xK08
hot-100,6/11/16,Formation,Beyonce,75,5,10,63,-12,
hot-100,6/11/16,If It Ain't Love,Jason Derulo,76,7,67,72,-4,https://embed.spotify.com/?uri=spotify:track:5YHR8wBR5jXfGtP766NiAT
hot-100,6/11/16,Lights Come On,Jason Aldean,77,7,43,91,14,https://embed.spotify.com/?uri=spotify:track:596ShP1KQsIzk7dTpJNXJi
hot-100,6/11/16,Light It Up,Major Lazer Featuring Nyla & Fuse ODG,78,11,73,87,9,https://embed.spotify.com/?uri=spotify:track:40MkEbKzuSW9ET6HBngqnK
hot-100,6/11/16,Might Not,Belly Featuring The Weeknd,79,14,68,80,1,https://embed.spotify.com/?uri=spotify:track:5heM8paxfPJO5rAICyRb7L
hot-100,6/11/16,Faded,Alan Walker,80,5,80,97,17,https://embed.spotify.com/?uri=spotify:track:1brwdYwjltrJo7WHpIvbYt
hot-100,6/11/16,Wherever I Go,OneRepublic,81,2,67,67,-14,https://embed.spotify.com/?uri=spotify:track:0KdwmtG44yIDpyie4b0jCn
hot-100,6/11/16,U With Me?,Drake,82,4,44,68,-14,https://embed.spotify.com/?uri=spotify:track:4MSjMv3kpbLEeyGfIh52qH
hot-100,6/11/16,Love On The Brain,Rihanna,83,1,83,0,New,https://embed.spotify.com/?uri=spotify:track:7HRHMuUTY7Dk4mw7CjS36i
hot-100,6/11/16,Law,Yo Gotti Featuring E-40,84,7,79,88,4,https://embed.spotify.com/?uri=spotify:track:7mhk9WyqZZzvTTCQKfh2iV
hot-100,6/11/16,Fire & Desire,Drake,85,4,75,75,-10,https://embed.spotify.com/?uri=spotify:track:4bEGp4AapA0B3Q5PpnSq3K
hot-100,6/11/16,Unsteady,X Ambassadors,86,2,70,99,13,https://embed.spotify.com/?uri=spotify:track:7lGKEWMXVWWTt3X71Bv44I
hot-100,6/11/16,Youth,Troye Sivan,87,16,23,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:285MYt4hkSGy5xrRosuPku
hot-100,6/11/16,Moolah,Young Greatness,88,7,85,96,8,https://embed.spotify.com/?uri=spotify:track:746PsZ5jTdqIJ6LgJAHcEZ
hot-100,6/11/16,Piece By Piece,Kelly Clarkson,89,13,8,89,0,https://embed.spotify.com/?uri=spotify:track:15P4Osep3FIiZvDoccy1HK
hot-100,6/11/16,From The Ground Up,Dan + Shay,90,1,86,0,New,https://embed.spotify.com/?uri=spotify:track:0AdjJ2SaOeb5bPJ67nDbsW
hot-100,6/11/16,Kiss It Better,Rihanna,91,8,62,78,-13,https://embed.spotify.com/?uri=spotify:track:1dI1pt7GNjMI6pbSOd2MD6
hot-100,6/11/16,Noise,Kenny Chesney,92,7,72,98,6,https://embed.spotify.com/?uri=spotify:track:3tBSdTfZuCzgA2PfQrqKpk
hot-100,6/11/16,Hold Up,Beyonce,93,5,13,74,-19,
hot-100,6/11/16,Every Breath You Take,Hannah Huston,94,1,94,0,New,https://embed.spotify.com/?uri=spotify:track:4hZu7IefxrjzuoGjhWmhOu
hot-100,6/11/16,Redemption,Drake,95,3,61,83,-12,https://embed.spotify.com/?uri=spotify:track:6qGgrhiZ20Qrir3MNGUJq4
hot-100,6/11/16,Gold,Kiiara,96,1,83,0,New,https://embed.spotify.com/?uri=spotify:track:6WhzFzROw3aq3rPWjgYlxr
hot-100,6/11/16,Ophelia,The Lumineers,97,5,66,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:0IOFbRuU9O7BsRMVBT6Rbo
hot-100,6/11/16,Hasta El Amanecer,Nicky Jam,98,1,95,0,New,https://embed.spotify.com/?uri=spotify:track:4wFHfY9IILHLNwakPuFogD
hot-100,6/11/16,Wake Up,Fetty Wap,99,2,58,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:6BOtDFg6GJm0rPUDuNmx57
hot-100,6/11/16,Down That Road,Alisan Porter,100,1,100,0,New,https://embed.spotify.com/?uri=spotify:track:3sS03NvxbrVgFNZgvnR26k
dance-electronic-songs,6/18/16,Don't Let Me Down,The Chainsmokers Featuring Daya,1,17,1,1,0,https://embed.spotify.com/?uri=spotify:track:1i1fxkWeaMmKEB4T7zqbzK
dance-electronic-songs,6/18/16,This Is What You Came For,Calvin Harris Featuring Rihanna,2,6,2,2,0,https://embed.spotify.com/?uri=spotify:track:0azC730Exh71aQlOt9Zj3y
dance-electronic-songs,6/18/16,Never Forget You,Zara Larsson & MNEK,3,36,1,3,0,
dance-electronic-songs,6/18/16,Middle,DJ Snake Featuring Bipolar Sunshine,4,33,3,4,0,https://embed.spotify.com/?uri=spotify:track:2Fn3coxd0xAZ09JtrgcgHa
dance-electronic-songs,6/18/16,Never Be Like You,Flume Featuring Kai,5,19,5,5,0,https://embed.spotify.com/?uri=spotify:track:4ja3m5fYLcugwuXB6Jkh4Y
dance-electronic-songs,6/18/16,Roses,The Chainsmokers Featuring Rozes,6,51,1,6,0,https://embed.spotify.com/?uri=spotify:track:3FWPoYBDserKdzcattMFGa
dance-electronic-songs,6/18/16,Light It Up,Major Lazer Featuring Nyla & Fuse ODG,7,28,6,7,0,https://embed.spotify.com/?uri=spotify:track:40MkEbKzuSW9ET6HBngqnK
dance-electronic-songs,6/18/16,Faded,Alan Walker,8,21,8,8,0,https://embed.spotify.com/?uri=spotify:track:1brwdYwjltrJo7WHpIvbYt
dance-electronic-songs,6/18/16,No Money,Galantis,9,9,9,10,1,https://embed.spotify.com/?uri=spotify:track:0gb1J5UrTpzaU1s3nupgCd
dance-electronic-songs,6/18/16,Fast Car,Jonas Blue Featuring Dakota,10,21,7,9,-1,https://embed.spotify.com/?uri=spotify:track:6OZh916QF8XNunWaP97WEZ
dance-electronic-songs,6/18/16,Sex,Cheat Codes x Kris Kross Amsterdam,11,14,11,11,0,https://embed.spotify.com/?uri=spotify:track:4tRLfSHpbjlIjV97RPWr9Y
dance-electronic-songs,6/18/16,Stay,Kygo Featuring Maty Noyes,12,26,8,12,0,https://embed.spotify.com/?uri=spotify:track:7gBj0VgcuAgkXkiRRYvSmK
dance-electronic-songs,6/18/16,This One's For You,David Guetta Featuring Zara Larsson,13,3,13,16,3,https://embed.spotify.com/?uri=spotify:track:46NBoIAHrmR7qcUGCIFEjR
dance-electronic-songs,6/18/16,I Wanna Know,Alesso Featuring Nico & Vinz,14,9,14,18,4,https://embed.spotify.com/?uri=spotify:track:2kYqdSlrtovVMMIn6ykzba
dance-electronic-songs,6/18/16,Running Out,Matoma & Astrid S,15,26,14,15,0,
dance-electronic-songs,6/18/16,Raging,Kygo Featuring Kodaline,16,9,16,17,1,https://embed.spotify.com/?uri=spotify:track:6DsFZITJMPnh8z5XewfVmL
dance-electronic-songs,6/18/16,Kill The Lights,"Alex Newell, Jess Glynne & DJ Cassidy With Nile Rodgers",17,7,17,22,5,https://embed.spotify.com/?uri=spotify:track:4iCKHGl4ij4YMwFrUZLGEQ
dance-electronic-songs,6/18/16,Smoke & Retribution,Flume Featuring Vince Staples & Kucka,18,6,18,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:2MXg8JEeTLUoWXefisRdwQ
dance-electronic-songs,6/18/16,Takes My Body Higher,Shoffy Featuring Lincoln Jesser,19,12,19,21,2,https://embed.spotify.com/?uri=spotify:track:306DlsO3OgFYsFZCfZzlBW
dance-electronic-songs,6/18/16,Candyman,Zedd & Aloe Blacc,20,14,12,19,-1,https://embed.spotify.com/?uri=spotify:track:0NWQTyapmz4GuDTSN9xTB7
dance-electronic-songs,6/18/16,Inside Out,The Chainsmokers Featuring Charlee,21,9,13,20,-1,https://embed.spotify.com/?uri=spotify:track:7sG2bWi2eDtvX9vX8yC1Gn
dance-electronic-songs,6/18/16,Under These Lights,Xenia Ghali,22,6,22,27,5,https://embed.spotify.com/?uri=spotify:track:4ZpqYpjibAf0acwF263cH4
dance-electronic-songs,6/18/16,Carry Me,Kygo Featuring Julia Michaels,23,3,18,23,0,https://embed.spotify.com/?uri=spotify:track:3FZEv9JddkjHNFiMVxJYpS
dance-electronic-songs,6/18/16,La La Land,DVBBS & Shaun Frank Featuring Delaney Jane,24,9,24,43,19,
dance-electronic-songs,6/18/16,Is It Love,3LAU Featuring Yeah Boy,25,5,25,28,3,https://embed.spotify.com/?uri=spotify:track:2ig0x2zNvcOugS1Z0YCnHb
